Name,About
Armored Warfare,"Wage war against players around the world with an unstoppable arsenal of powerful armored combat vehicles. Use 300+ vehicles to engage in furious PvP tank combat, complete co-op missions, and crush your enemies on breathtaking maps, from scorching deserts to neon-drenched urban jungles."
Madden NFL 23,"Play your way into the history books. Control your impact with every decision in all-new ways. Call the shots in Franchise with free agency and trade logic updates, leave a legacy in Face of the Franchise: The League, and assemble the most powerful roster in all of Madden Ultimate Team™."
SOS,"In SOS: BR, You are 1 of 32 players on La Cuna Island, forced to fight to the death. Along with your wits, you will have to equip yourself. Guns are certainly an option, but melee weapons are just as deadly. Keep your eyes open for footprints and other indicators that help you stalk your enemies..."
Dead Maze,"Dead Maze is a 2D MMO game set in a destroyed contemporary world, filled with zombies. Explore the world, scavenge and craft as many items as possible, to survive the hostile environment and upgrade your gear and camp as you go."
Nomad,"Try and survive in the world of Nomad. Build a base and protect it from raiding players. Scavenge food, weapons and medical supplies across the island. Team up with others and make a base. Make your mark on the world of Nomad."
Worm.is: The Game,Smash worms or slither trying! Warning: Incredibly addicting Multiplayer Game!
Crysis® 3,"The fate of the world is in your hands. New and old enemies threaten the peace you worked so hard to achieve 24 years ago. Your search for the Alpha Ceph continues, but this time you'll also need to expose the truth behind the C.E.L.L. corporation."
Pandemic Express - Zombie Escape,"In Pandemic Express - Zombie Escape, a group of humans try to outrun a player-controlled swarm of infected. Everyone spawns in a train station until one is randomly infected and needs to turn fleeing survivors into zombies. Survivors try to escape by train."
Teeworlds,"Teeworlds is a free online multiplayer game, available for all major operating systems. Battle with up to 16 players in a variety of game modes, including Team Deathmatch and Capture The Flag. You can even design your own maps!"
Puzzle Together Multiplayer Jigsaw Puzzles,"Multiplayer jigsaw puzzles with voice chat! Play on your own or with friends, and feel like you're all sitting around the same table. Millions of puzzle images, upload your own, or create any puzzle you can imagine just by describing it!"
8BitMMO,8BitMMO is a retro-style 2D massively multiplayer game! It's a giant construction sandbox -- you can build a home or a castle in a persistent streaming world. Found and manage your own city. Fight evil LawyerCats and engage in Player vs Player battle.
Of Guards And Thieves,"Of Guards and Thieves is a multiplayer stealth game in which high-powered guards face off against fast and elusive thieves in a contest of wits. Outsmarting the enemy and shooting your way through to the goal are equally valid strategies. Simple rules, emergent gameplay and high replayability."
Never Split the Party,"Never Split the Party is an ultra social rogue-like! You're one of four adventurers joining together to explore a procedurally generated dungeon, amass powerful upgrades, and cooperate with your fellow adventures to conquer and crush the evil dungeon champions!"
Skyforge,"Discover a universe of adventure in Skyforge, the sci-fi action MMO brought to you by MY.GAMES. Explore the breathtaking world of Aelion, become an Immortal, switch between 18+ classes, and master amazing powers to defend the planet from invasion. Play for free today!"
Mini World: CREATA,"Mini World is a 3D free sandbox game about adventure, exploration, and creating your dream worlds. There is no grinding or leveling up. No IAP gate that locks features from free to play players. Everyone can enjoy the game’s full features with great freedom"
NBA 2K16,"NBA 2K is back with the most true-to-life NBA experience to date with NBA 2K16. Featuring an all-new MyCAREER experience written, directed &amp; produced by acclaimed filmmaker Spike Lee."
Cubic Castles,"Your blocks, your castle, your world! Build anything you can dream up and explore with other players! Cubic Castles is a mini-MMO that combines the best of block-building and 3D platform action! Create fantastic parkour challenges, explore worlds made by other players, or even make friend!"
Endless World Idle RPG,"Explore the eternal landscapes of 3D Idle clicker RPG Endless World! Enjoy an epic adventure with a cast of 40+ characters. Build your army, craft unique weapons, balance your teams and set forth on an heroic saga that spans endless levels of monsters and mayhem!"
Command & Conquer™ 4 Tiberian Twilight,Level Up For the Epic Conclusion of the Tiberium Saga.
Poker Master,"Free chips!Including Texas Hold'em, Slots, Blackjack,Teen Patti and more poker games."
Command & Conquer: Red Alert 3 - Uprising,"Red Alert 3: Uprising features four new mini-campaigns, giving players a deeper dive into the storyline's of the Soviets, the Allies, the Empire of the Rising Sun and a unique campaign centered on the origins of everyone’s favorite psionic Japanese schoolgirl commando, Yuriko Omega."
Battle Grounds III,"After 6 years of development, Battle Grounds III (BG3) is the next iteration in the classic franchise which began 17 years ago. Prepare for battle in the American War of Independence!"
Brick-Force,"Brick-Force is a sandbox shooter that lets you BUILD your own battlefields, SHARE them with other players, and PLAY many challenging game modes in fast-paced PvP matches!"
Zero-K,"With 100+ truly unique units, Zero-K is an RTS of freedom and creativity, tempered by a decade of refinement. Sculpt land into a castle and throw invaders off it with a Jugglenaut. Explore a massive campaign, solo or co-op. Hop online for epic 32 player battles or fast paced 1v1, on 100s of maps."
Supremacy 1914: World War 1,"Take over the control of one of the mighty nations during the times of World War 1 in the biggest WW1 strategy game of all time. Conquer provinces, forge alliances and build up your economy in real-time on persistent maps. Build experimental weapons of World War 1 and become the one true superpower!"
The Backrooms Game FREE Edition,"Nothing but the stink of old, moist carpets, the madness of mono-yellow, and the blinding light of fluorescent bulbs at maximum hum-buzz. Over 600 million sq. miles of randomly segmented rooms. God save you if you hear something wandering nearby, because it sure as hell has heard you."
SCP: Escape Together,"In the midst of a site-wide containment breach, you must team up with other Class-D personnel to escape the underground, isolated facility while evading the dangerous anomalies that have breached containment."
BEACHED,"A free-to-play, low-poly, open-world survival shooter where you’ll battle other players, explore massive monuments, and fight to stay alive. Build and fortify your base to defend against enemy raids, gather resources, and conquer a harsh, competitive world. Survival means doing whatever it takes."
Battle Islands,"Battle friends over air, land and sea in this epic WW2-themed battle strategy game."
RED HOT VENGEANCE,"He had one rule: No killing women or children. When a hitman is double-crossed by his employer, he brings forth a night of carnage and bloodshed."
NosTale - Anime MMORPG,NosTale is a free-to-play anime action MMORPG which takes you on an exciting journey through a world full of mystery with your friends.
Villagers and Heroes,"Enter a magical, 3D fantasy world filled with hundreds of unique locales, immersive lore, and exciting quests -- and it's all free to play. Join thousands of players from around the world, and be part of a one of a kind community."
My Lands: Black Gem Hunting,"My Lands is a free online RTS where dark and light forces fight for Black Gem and dominion in a vast fantasy world. Cooperation between players, joint economy development, creation of clans and alliances and elaboration of a team strategy serve as the very foundation of the game."
Supraball,Play football in first person view and develop your own tactics and tricks. Play with up to 9 of your friends or join alone. No Pay2Win!
Spacelords,"Embark on an epic sci-fi, free-to-play adventure. Spacelords is a brand-new take on the shooter genre. Through its 4 vs 1 campaign, you experience both sides of the story: Join the Raiders in their fight to free the legendary Broken Planet, or switch sides and fight as the Antagonist alongside the invading hordes!"
Ace Combat Assault Horizon - Enhanced Edition,Never before has combat been so fast in-your-face.
Shroud of the Avatar: Forsaken Virtues,SHROUD OF THE AVATAR: FORSAKEN VIRTUES is a multiplayer fantasy RPG that sets the player on a path filled with peril and tough choices as they explore a persistent realm that can be shared with other Avatars. It is the spiritual successor to Richard Garriott’s Ultima games.
BlackShot: Mercenary Warfare FPS,"BlackShot is a free-to-play, first-person shooter set in a post-apocalyptic world.Join other mercenaries in brutal team combat, multiple game modes, and experience in-depth customization to create your perfect warrior!"
MINDNIGHT,"Inspired by the party games Werewolf and The Resistance, MINDNIGHT is a cyberpunk online social deduction game of deceit, accusations and unpredictability. It challenges your ability to lie and detect others that are trying to be deceptive."
theHunter: Primal,"Hunt - Explore - SurviveThe most realistic prehistoric survival game ever created. Featuring a huge Cretaceous environment populated by horrifying dinosaur all-stars, such as T-Rex, Triceratops, Utahraptor, Velociraptor and Quetzalcoatlus."
Mortal Online,"Mortal Online is a first-person medieval fantasy MMORPG, set in a huge, open, unforgiving world. Choose your race, choose your playstyle, choose a profession, choose where to place your loyalties - if you have any..."
Order of Battle: World War II,Order of Battle: World War II is a breath of fresh air for all strategy fans. It is a game that takes wargaming to a new level by upgrading every single game element and rebooting the genre for a new generation of players.
Insanity Clicker,Been looking for the thrill? Then you've come to the right place! Insanity Clicker is a time-killer game full of horror and fear that will make you tremble in a couple of minutes!
WWE 2K16,"The newest addition to the flagship WWE video game franchise will deliver fun, authentic and hard-hitting action, including returning fan-favourite features and game modes, new innovations and more!"
Kingdom Wars,"Kingdom Wars is a free to play 3D MMORTS with real-time siege combat, without the pay to win element so common in the genre. Kingdom Wars offers beautiful 3D online world, where players construct strongholds, direct citizens, complete quests and eventually manage a global empire."
Copa Petrobras de Marcas,COPA PETROBRAS DE MARCAS is a 100% free official game simulating the thrill of competing wheel-to-wheel with models from various automakers in some of the main Brazilian race tracks.
Age of Conquest IV,Age of Conquest is a turn-based grand strategy wargame.
Secret Neighbor Beta,"Beta Runs Aug 2-19! A group of kids tries to sneak into their creepy Neighbor's basement to rescue their missing friend. The only problem is one of the players is a traitor in disguise. Yes, you can play as the Neighbor."
Sniper Fury,"Sniper Fury is an action-sharpshooting game set in a world threatened by violence. Neutralize threats using an ever-growing arsenal of modern firepower. Customize everything: weapons, gear sets, bullets! Join other snipers in Clan Wars, challenge them in PvP mode, &amp; try events for extra surprises."
Just Cause™ 3: Multiplayer Mod,Just Cause 3 Multiplayer mod is a free fan-created project bringing an explosive and highly-customizable multiplayer.
Drug Dealer Simulator: Free Sample,"Drug Dealer Simulator: Free Sample is an introduction to the dark alleys of the ghetto, where you can start to expand your own crime empire! Get in touch with your contact and take your first steps in drug dealing business! 8 levels of dope business deals and constant adrenaline!"
Pixel Puzzles Ultimate Jigsaw Puzzles,The Number 1 Jigsaw Puzzle Game.
Istrolid,"In Istrolid you design your own unique spaceships from a large number of parts to fit your strategy and play style. With no set units or factions you are free to create a fleet where each ship has its own balanced strengths and weaknesses, from basic fighters and bombers to hulking battleships and speedy destroyers."
Maelstrom,Command the seas in Maelstrom! Engage in fast-paced naval battles with powerful warships and colossal sea monsters. Customize your fleet and dominate the Abyssal Ocean. Are you ruthless enough to survive?
Hades' Star,A unique space strategy game where thousands of players participate in one shared galaxy.
Rise of Flight United,"Pilot legendary aircraft of the early years of aviation, French Spad 13, German Albatros D.Va and Russian built Nieuport 17, in the free-to-play Rise of Flight United! This WWI aviation sim that has something for every flight-sim fan, from single player skirmish and career to multiplayer dogfights, but one thing is for certain, the..."
Empires Apart,"An exciting free-to-play Real Time Strategy game set in medieval times. Uniquely designed factions, customization options, singleplayer and multiplayer gameplay. Gather resources, raise an army and lead your civilization to victory in a classic RTS, brought to the modern age."
SYNTHETIK: Arena,"Face the varied challenges of the Machine God Zir in ARENA, a standalone expansion for Synthetik: Legion Rising! Leverage the next level in gun-play and experiment with powerful tech in varied action packed Arenas!"
Hunger Dungeon,Hunger Dungeon is a 1-6 player round-based Multiplayer Online Battle Arena game with a special pixel art style. Battle with more than 12 unique characters in fast-paced Free-for-All and Team Deathmatch rounds. Or take on the challenging Dragon Mode - the exciting first PvE mode!
Lost Planet® 2,"Lost Planet 2, the sequel to Lost Planet™: Extreme Condition, the landmark third-person shooter that sold over 2.3 million units worldwide, is now available on Steam!"
Viscera Cleanup Detail: Shadow Warrior,"After the battle is over, someone has to cleanup the mess! Introducing Viscera Cleanup Detail: Shadow Warrior from RuneStorm, a unique crossover mini-game that combines the worlds of Viscera Cleanup Detail and Shadow Warrior."
Anarchy Arcade,"Turn your entire digital life into a game. AArcade is a 3D desktop that launches shortcuts to absolutely anything you like. Join the anarchy of the persistent online metaverse, or remain in your own private reality. Casual in-game building features, plus hundreds of thousands of addons."
Zombie Defense,"A modern hybrid of the classic RTS and modern Tower Defense. Recruit soldiers, place them on slots and let them shoot incoming waves of zombies by their own. Order supplies, throw grenades, order airstrikes and many more... Perfect mix of strategy, tactics and micromanagement."
Tales of Escape,'Tales of Escape' is a series of 6 person multiplayer escape room adventures for virtual reality or desktop pc! Gather your friends and choose a story to play!
Lurk in the Dark : Prologue,"A town flourished with woodworking and mining, 'Babel's Hill Top'. A Ruggles family who contributed greatly to the development of this town several centuries ago. The tragedy that happened at the residence of them. In this residence where blood and hatred are ingrained, their nightmare begins."
Puzzle Pirates,"Every activity in Puzzle Pirates is a uniquely fun puzzle: be it sailing, gunning, or hauling treasure, your own puzzling skill determines your success!"
Operation: Tango - Friend Pass,"Download the Friend Pass and play for free with a friend who owns the full Operation: Tango game. It takes two to save the world, but it only takes one to pay for it."
FPV SkyDive : FPV Drone Simulator,"FPV SkyDive is a free-to-play realistic drone racing and freestyle simulator. Feel the adrenaline of high speed first-person view drone racing in single-player or multi-player scenarios. The future is now, become an FPV pilot today!"
Genesis Online,Genesis Online! First Person Multiplayer Adventure game in an editable procedural cubic world.
Oasis VR,"Oasis is an amazing virtual environment where you can make new friends around the world! You can chat with them, play poker, go bowling, or even arrange a home party in several virtual worlds. You can also create your own avatars for you and your friends!"
Street Fighter X Tekken,The long awaited dream match-up between the two titans of fighting is here!
ONRAID,"Onraid is a challenging 2D shooter game, where you are free to develop your own play style and tactics to destroy your enemies."
Velvet Sundown,"Velvet Sundown is a social multiplayer role-playing game, taking place on a luxury yacht cruising the waters of a fictitious Caribbean state of Balbonia. Embark on a journey full of conspiracies, trickery and secrets where you can never tell a friend from foe."
Minds Eyes,"You venture through your mind, trying desperately to wake up from your nightmares. Will you make it out?"
Fog Of War - Free Edition,"Tactical Multiplayer FPS shooter with a story based on the events of the World War II. Strategic battles with a variety of vehicles, including artillery. Multiple game modes. Ranks, titles, awards, career."
Soldat,"Soldat is a unique 2D (side-view) multiplayer action game. Soldiers fight against each other in 2D battle arenas using a deadly arsenal of military weapons, across 7 default game modes."
Guns and Robots,Guns and Robots is free to play online third person shooter. The game brings robot action with massive customization. Players get cartoony bright 3D graphics in attractive environments and challenge each other in open arenas.
Passing Pineview Forest,Passing Pineview Forest is a free mini-prequel set in the universe of Pineview Drive. Behind the abandoned house on Pineview Drive lies ominous Pineview Forest...
They Can't Stop All Of Us,D.A.B. Your foes in co-op &amp; PvP battles. (D)efend bases with weapons and skill. (A)ttack with clever AI armies. (B)uild amazingly creative defenses.
March of Empires,"Claim your title as Shogun, Highland King, Northern Tsar or Desert Sultan and join this genre-redefining strategy game where you will wage constant war for real territorial conquest! Fortify your castle, fuel a massive army, and enter the ultimate fight for realm domination!"
Rise of Legions,"Rise of Legions has shut down. It was a strategy and deck building game with dynamic, tactical gameplay."
Tabletopia,"Tabletopia is a sandbox virtual table with high-quality board games and ready setups. Already 2,400+ games and counting! Play how you want with whom you want: guests don’t need accounts to play. Or make your own games, no programming skills required."
DYO,DYO is a mind-bending cooperative platformer for one or two players where you can hop between two halves of a split screen.
CityBattle | Virtual Earth,CityBattle - Thousands of cities fighting for dominance. Join the army of your Virtual City in the MMO F2P shooter using Unreal Engine 4.
PICO PARK:Classic Edition,PICO PARK:Classic Edition is a cooperative local multiplay action puzzle game for 2-10 players.
Spellsworn,"Enter a world of magic and battle, where your wits and reflexes will be pushed to their limits! Choose your spells, enter the ever-changing arena and prepare to obliterate all who stand in your way!"
Vectorio Classic,"The original, uncompleted version of Vectorio. Claim resources, unlock new buildings, and expand your defenses as you fight back against enemy forces in the classic edition of Vectorio! Play for free now."
Blind Trust,"Blind Trust is a two-player, cooperative game where the deaf leads the blind on a fantasy island. Navigate using only 3D sound as the blind Oracle, or lead the Oracle with magical sound beacons as the deaf Soldier. Work together to fight monsters, solve puzzles, and reach your ultimate goal."
Bombix,"Do you like shooting? Then arm yourself - the world of Bombix awaits you! You will find yourself in the shoes of a small but VERY dangerous fighter, gather together a team of thugs and show 'em all how to fight!"
Eden Rising,Brace yourself for a brand new action-packed Open World. Explore a huge world to gather materials for gear and defenses. Use everything at your disposal to defend your bases and defeat hordes of hostile monsters. Play solo or up to 8-player online!
Aberoth,Aberoth is a fantasy massively multiplayer online role playing game with charming retro graphics and tons of freedom.
Einar,"The player takes on the role of Einar, who is on a quest to kill the inhabitants of a Norse fishing village who are infected by a mysterious material. Use different weapons such as the bow, hammer and axe to clear the village of the monsters."
Unsung Warriors - Prologue,"Unsung Warriors is a 2D action-adventure game set in Iron Age inspired Europe. Fight your way past enemies and traps, while exploring the secrets of an ancient crypt."
Angeldust,"ADVENTURE. ANYWHERE! Explore endless magical worlds and battle fearsome creatures alongside millions of friends. Ride your own horse, bear or moa and discover the many game world wonders. Unleash your imagination by crafting beautiful buildings."
Runes of Magic,"Start your heroic saga today in a world full of magic and excitement: Choose your race, build a home and discover the fantastic world of Taborea in the classic free-to-play MMO!"
PRO EVOLUTION SOCCER 2018,"'Where Legends Are Made' encapsulates the return of PES, with an unparalleled gameplay experience."
Dungeon Defenders Eternity,"Dungeon Defenders Eternity is the definitive version of the original tower defense action-RPG! Now featuring a rebalanced endgame, all new missions, secure online play, links to Dungeon Defenders II and more!"
Mythgard,"Welcome to Mythgard, a fantasy cyberpunk CCG of heroes, gods, and mythical beasts. Master the unique lane and mana systems in your rise to the top or enjoy team play with a friend. New players can use the code WelcomeChallenger to get 20 free packs and more to start their journey."
All Is Dust,All Is Dust is a first-person horror game for PC and Oculus Rift. Experience the terror of a dust storm in the 1930s and unravel the mystery surrounding your decaying farm.
StarBreak,"StarBreak is a unique skill-based action platformer MMO where you explore strange sci-fi worlds alongside dozens of other players, kill legions of dangerous aliens and fight epic boss battles."
Survived By,Survived By is a free-to-play online bullet-hell style roguelite where permadeath is just the beginning...
Holodrive,"A fast-paced multiplayer shooter where you customize your robot, zoom around with a jetpack, and battle with various weapons. Master the arenas, surprise your enemies, and enjoy the nonstop action!"
Otherworld Legends 战魂铭人,"A 'blood-pumping, face-bashing' roguelike brawler. Master heroes of your choice, craft uniquely broken builds, and hack &amp; pummel through a myriad of dungeons in a thrilling rampage."
Clown House (Palyaço Evi),Freeware horror game with the mise en scène of an old black&amp;white film and unique horror experience.
Tactical Craft Online,"Tactical Craft Online - MMO sandbox with tactical role-playing elements with a large open fully destructible world, with clans, trade between players, construction limited to the players imagination, various crafting, mining of multiple ores, farming, fishing, a massive tech tree etc."
Mansions of Madness,"A companion app for the Mansions of Madness Second Edition board game from Fantasy Flight Games. Mansions of Madness is a cooperative game of mystery and investigation inspired by the writings of H. P. Lovecraft. During each game, one to five players explore a location to unravel a mystery."
VALKYRIE CONNECT,Enjoy deep character growth and co-op boss battles in this JRPG.
Metal War Online: Retribution,Fast Online Car Shooter. Unmatched dynamic shooter with a huge selection of futuristic technology! Millions of players.
Beavers Be Dammed,Beavers be Dammed is a two player local co-op game in which two beavers perform heists under time pressure to steal wood from a sawmill under crazy circumstances!
NBA Playgrounds,"Classic NBA arcade action is back! Take your “A” game to the playground and beat the best in high-flying 2-on-2 basketball action. Practice your skills offline, play with up to three others and take your talents online to posterize your opponents with acrobatic jams and ridiculous displays of skill."
Circle of Sumo: Online Rumble!,"Use your belly to your advantage! Challenge players all over the world and climb the leaderboards. Fight into the arena: charge, hit, dodge and defeat the opponents. Let's have some good old fun!"
Evil Inside - Prologue,"Evil Inside is a first-person psychological horror game. After the death of his mother and the arrest of his father for it, Mark decides to contact her using the Spiritual board. But it fades away, and here is when all begins... Mark will face his greatest fears to discover the truth."
Fantasy Grounds Classic,Fantasy Grounds is a hybrid application which allows you to play and create your own RPG games. Check out Fantasy Grounds Unity for the latest version of the software with the most features..
AVA: Dog Tag,"A.V.A: Dog Tag is a, military-themed, team-based tactical First Person Shooter based on class-distinctive weaponry and strategy. Choose your fight in close quarter combat, hold down key engagement points, or zone out enemy team as a sniper and pick them apart."
Kingdom Wars 2: Battles,"Battle to survive through brutal siege combat, fighting each other, and hordes of Zombies. Engage in complex crafting, castle construction and city building. Fight on beautiful, yet gory, battlefields in the epic story campaign, multiplayer skirmish and coop modes."
Object N,A classic-style hardcore dynamic shooter which takes place in a science underground center.
X-Plane 10 Global - 64 Bit,"X-Plane 10 brings numerous improvements and enhancements for PC, Mac and Linux virtual pilots, unleashing the power of modern systems with its 64 bit processing and multi-core support."
Dropzone,"Dropzone is a game of action, strategy and skill. Win 15 minute battles by scoring points. Unlock gear, customize your squad of up to 3 Units and compete in Team 3v3, 2v2 or 1v1 matches. Lay claim to the riches of Europa!"
Galcon 2: Galactic Conquest,Galcon 2 is a demolition derby in space! Send swarms of ships from planet to planet to conquer the galaxy in this fast paced multiplayer strategy game!
stein.world,"Stein.world is a real-time MMORPG in a beautiful fantasy world with many common game features from the MMO genre: A big and persistent fantasy world with a lot of variety filled with hundreds of quests and items, dungeons, professions and much more to come."
Midair,"Midair is a fast-paced jetpack shooter set in a breathtaking new sci-fi universe. Use movement to your advantage, outwit your enemy from every angle, build defenses, and fully customize the way you play. Break the mold of traditional shooters and jetpack your way into a challenging new experience!"
Don't Be Afraid - The First Toy,"Don't Be Afraid - The First Toy, is an introduction to the dramatic story of a boy kidnapped by a psychopath. Exploring the giant house of your torturer you will soon discover things worse than your childish nightmares. Take on the role of Jamie and see what phrase “The First Toy” actually means."
The Backrooms Deluxe,"A new, immersive Backrooms game featuring many entities and many levels."
Kings and Heroes,Kings and Heroes is no longer available.
Gatewalkers (Alpha),"Gatewalkers is a cooperative action RPG game with survival elements, where players travel across different worlds in order to save their own. Explore procedurally generated worlds, face hostile inhabitants, face challenges like extreme weather conditions, toxic atmosphere, lack of water and more."
The Designer's Curse,The first chapter of an unforgettable survival horror experience. Solve puzzles and work your way through this terrifying place. You may be more familiar with it than you initially think.
League of Angels-Heaven's Fury,'League of Angels – Heaven's Fury' is a revolutionary 3D online action RPG that takes place in a fantastical world loosely based on Western mythology.
东方幻灵录 ~ Touhou Hakanai Cards,"Touhou Hakanai Cards is an autochess-like leisure game, includes different styles and distinct characteristics roles, you can use these distinctive characters to organize your own team. Structure you battle economics and use the varied and graceful character cards to fight!"
SCP: Ground Zero,Infiltrate a secret facility to recover an anomalous object.
My Free Farm 2,"Are you ready for a very special challenge? Then get ready to discover My Free Farm 2! This simulation is a captivating blend of farm and tycoon game. Bring in the harvest, keep animals and expand your property. Download My Free Farm 2 now!"
Sam & Dan: Floaty Flatmates,"Oh nooo, the world is flooded! Oh no, there is also a really big shark! You are a survivor of the apocalypse, stuck in your apartment, all by yourself, so sad... Across the street there is another survivor. Let's wave to each other, work together and both reach the boat to get to safety!"
Immune - True Survival,"Experience true survival with a wink in the world of Immune - the new open-world survival online game. Survive the wastelands with the help of your friends and your hand crafted weapons. Build your own fort to defend yourself and your hard earned loot from evil mutants, bandits or reckless players."
Tank Team,A team based PVP game where groups of up to 8 players must work together to operate a tank!
天际起源 The Ark of Horizon,"The Ark of Horizon is a boldly creative Battle Royale game. Multidimensional battlegrounds are adopted. The combat take place anywhere up to the air or down to the sea. In the Ark of Horizon, you can fly, adventure and combat just like a super hero!"
My Free Zoo,"A small zoo needs your help! As the new manager, it's your job to boost business. Design the zoo of your dreams. From wolves and polar bears all the way to prehistoric beasts – the further you progress in the game, the more exotic the animals you'll be able to keep in your zoo. Play now and save the zoo!"
Hide vs. Seek,"An experiment gone awry gave birth to a mischievous, shape-shifting blob of goo! A state-of-the-art tracking robot was created to protect the house. Take the role of either character and join the frantic cat-and-mouse chase as the blob sneaks through the house while the robot hunts it down!"
Rekt: Crash Test,"A high-octane, stunt, arcade game with an addictive combo and trick-based gameplay set in a retro arena. Get behind the wheel - jump, drift, stunt, and compete with others on the way on top the global leaderboard. It’s time to GET REKT!"
The Fishing Club 3D: Multiplayer Sport Angling,Bait your hooks and go sport-fishing around the world! Take part in epic fishing competitions or just go fishing and relax. Tight lines!
Fly Punch Boom: First Impact!,"The DEMO for the WILDEST ANIME FIGHT, Fly Punch Boom! Fly super fast, smash your friends through skyscrapers and break the planet with one punch! Up to 4 players local &amp; online. Now with workshop for INFINITE CHARACTERS!"
Disc Space,Disc Space is a multiplayer Ultimate Frisbee game with up to 10 players online. Play with your friends or find new ones. Unlimited fun is guaranteed.
"Creature Clicker - Capture, Train, Ascend!","A new creature collecting clicker game in which your goal is to capture all of the 50+ creatures, level them up to make them do more DPS and ascend them to gain better abilities. Unlock legendary variants and defeat all of the raid bosses &amp; every hour get a steam creature you can trade, buy or sell!"
A Walk in the Woods,"A Walk in the Woods is a co-op multiplayer game where four players must roam a dark and dangerous forest in search of each other, avoid a terrifying creature, and reunite before the curse is complete."
RPG World - Action RPG Maker,"RPG World – THE Action RPG Maker! Unleash your imagination with RPG World and create, share and play amazing 3D games with our growing community. Claim glory and treasure as you conquer magical worlds, alone or as a team. No coding required!"
War of Beach,"This is an Early Access version that offers you to experience this game in advance. It is of great importance that we hope to have your advice and suggestions for our game, as we are willing to develop a game that belongs both you and us. Your precious idea will boost the development of this game."
The Ultimatest Battle,"The Ultimatest Battle is a real-time, 2D platform game in which two teams compete in different game modes with an almost completely destructible environment. UB is a true Free-to-Play, absolutely no Pay-to-Win."
Siren Head: The Siren's Forest,"In this indie horror game, you must escape the Siren’s Forest! Use multiple means of transportation to aid your escape. Unearth what truly happened in the forest by interacting with certain objects that could provide you with the answers you need. But be careful… There’s something out there!"
Overstep,"Combine parkour with exciting combat in this action-packed, free to play arena shooter."
Marvel: Ultimate Alliance,Marvel Ultimate Alliance lets players create their ultimate team from the largest Super Hero alliance ever as they engage in an epic quest to determine the fate of the Marvel Universe.
Galactic Junk League,"Build anything. Fight anyone. In space. Highly tactical competitive sci-fi combat/building multiplayer free-to-play game. Bit of MOBA, bit of sandbox. Try it out to see for yourself!"
Zombie Builder Defense,"Top down, action packed, multiplayer, zombie shooter. Build your base with friends and see how long you can survive the endless horde of zombies. Level up with friends, or alone, how you die is up to you."
Uebergame,"A truly free and open source multiplayer shooter, no strings attached. Have casual deathmatch matches on various scenarios. Build your own levels with the ingame editor and assets that come with the game, or just play around and use it as a sandbox."
HIT,"HIT is a free, multiplayer, deception-based shooter. Betray your friends and sniff out the Rogue Agent. Hit revolves around deception and espionage. Set in a sleek, 70s-style super-mansion and glazed with a decadent layer of treacherous whimsy, HIT is short, stylish, deceptive, and uproarious fun."
Braveland Heroes,The famous Braveland series returns! Destroy your enemies in online duels and uncover the secret of the king's scepter in this new turn-based strategy game.
Jelly Brawl: Classic,"Jelly Brawl: Classic is a FREE sticky and destructive multiplayer party game where you gotta jiggle, flop, and pop your way to the top! Fight alone or against friends for freedom from a mad king across tons of stages, mini games, and modes as you wrestle to be the last jelly standing!"
Infected Shelter,Infected Shelter is an ultra-violent rogue-lite post-apocalyptic beat'em up. Singleplayer and co-op for up to four players.
STEAM HAMMER,Steam Hammer is the first hardcore sandbox RPG in a steampunk setting featuring survival elements. Here you'll find all the advantages of sandbox games in the mysterious world of steam engines.
CroNix,"CroNix is a fast-paced, action-packed multiplayer PvP game set in battlefields of a post-apocalypse world."
Veneficium,"𝘚𝘵𝘢𝘺 𝘲𝘶𝘪𝘦𝘵. 𝘚𝘵𝘢𝘺 𝘩𝘪𝘥𝘥𝘦𝘯. 𝘞𝘢𝘵𝘤𝘩 𝘺𝘰𝘶𝘳 𝘴𝘵𝘦𝘱𝘴. 𝘐𝘧 𝘺𝘰𝘶 𝘥𝘰𝘯'𝘵, 𝘙𝘶𝘯. Play as Abigail in her quest to find her grandmother in a cursed forest. Use your spellcasting abilities to hide from various dangers. Will you survive the night?"
Zeal,Zeal is a 3rd person Action RPG focusing on customizable character builds and competitive PvP/PvE without grinding.
Stonies,Stonies – Secure the survival of your kin! Play the gripping mix of life simulation and tycoon game now and accompany your Stonies through their prehistoric life. Prove your skill as a Stone Age leader in Stonies.
Revelations 2012,"Mayan prophecy foretells the beginning of a new world age on December 21, 2012. Can the four heroes save humanity by defeating these evil foes?"
The Elder Scrolls Online - Elsweyr,"Dragons return to Tamriel in The Elder Scrolls Online: Elsweyr, part of the Season of the Dragon year-long adventure! Explore the savannahs and canyons of Elsweyr, defend the home of the Khajiit from an ancient evil, and command the undead with the Necromancer class."
Stellar Overload,"Robots invaded the peaceful planet Merx. Go on an adventure to free your world from them. Stellar Overload is a 3D open-world, blocks-based, FPS, adventure game."
Guardians of Middle-earth,A shadow grows over Middle-earth as the greatest armies of the Third Age prepare for the coming battle. Take up arms in the clash over Middle-earth as the most powerful heroes and villains from the greatest fantasy epic of all time.
