Name,About
Immortal Empire,"Immortal Empire is a multiplayer tactics role playing game. Control a party of up to 5 immortals as you travel through a unique fantasy world, using spells and strategy to defeat your enemies. Play co-op, versus, or solo through a compelling campaign storyline with fully voiced characters."
ABE VR,ABE VR is an intense experience that recreates the horrifying story about a misguided robot seeking the unconditional love of humans…at whatever cost.
Task Force,Task Force is the ultimate tactical shooter sandbox that focuses on close quarters infantry combat. It's made by a small indie team of 3 developers that strive to create exceptional action simulation games.
Sword of the Necromancer - Prologue,"Help Tama to save Koko using the powers of the forbidden Sword of the Necromancer. Turn your foes into allies and reach the depths of the Necromancer's dungeon. Defeat the guardians to gain enough soul power to bring Koko back from the dead, no matter the cost."
World of Myths,"Take control of the battle, crush the opponent’s temples and rise to victory in a card game where the usual tactics don't work. Pledge loyalty to your favorite Mythology. Bring back the glory of the ancient Gods or become a God yourself."
Incremental Epic Hero,"Incremental, Idle, RPG, Japanese Anime Game! Incremental Epic Hero is a free-to-play idle game with Japanese cute anime!"
Little Green Girl,One day the protagonist meets an alien girl and the story turns...
KillSteel,Kill as many cars as you can in this action-packed free student game!
World Of Robots,World of Robots is the tactical online shooter with simple controls
Tarisland,"Tarisland is a fantasy MMORPG set to bring back the fun of raiding dungeons, earning loot, and experiencing immersive exploration. Choose from 9 unique classes and team up with players worldwide to conquer epic bosses!"
源战役,"《源战役》 is an urban sci-fi adventure theme of 3D star traversal type MMORPG game, the game background of the cosmic space-time rupture, the source of the experiment declared a failure, the energy emergency, the source of the power of the war is bound to take place!"
Quest for the Golden Candelabra,"Lead a group of childhood friends in a series of difficult encounters played under the rules of PF2E, the second edition of a powerful tabletop OGL ruleset."
90 Minute Fever - Online Football (Soccer) Manager,90 Minute Fever is an online football management game that offers extremely challenging gameplay where you get to compete against others from all over the world!
Ghostbane: Prologue,"'Ghostbane: Prologue' is a multiplayer horror game that you can play with your friends. Detect paranormal activity, collect evidence of ghosts, hunt ghosts by rituals, and conduct detailed investigations about ghosts in your main base."
A Work of Art,"A dark, witty, psychological thriller in the horror genre, A Work of Art presents a 1-2 hour story-driven experience with Visual Novel features and RPG elements. Follow a colorful cast of quirky characters through a twisted tale of beauty and darkness; All to the sound of a Dark Original soundtrack."
Comedy Quest,Comedy Quest is a point and click adventure game by Trav Nash. Can you become the greatest comedian in three gigs?
Mad Pack,"Immerse yourself in the world of dynamic battles of the Mad Pack. Get levels and abilities, cut through crowds of enemies, clear the world level by level, and fight bosses, all in the name of bloody fun."
1943 Berlin Blitz,Join a Lancaster bomber crew during a raid over Berlin in World War Two.
Epicinium,"Epicinium is a strategy game where nature is a finite resource. No need to wait for your move, thanks to fast, simultaneous turns. Your economy and troops are influenced by the environment and increasingly severe weather effects. Is it worth winning a war when you end up conquering dirt and ash?"
Retro Commander,Retro Commander is a post-apocalyptic real-time strategy wargame (RTS).
Touhou Crisis,Classic arcade nostalgia and modern-indie design collide in this shooting-gallery boss battler! Play as a one-man army in offline solo OR bring a friend in online co-op/versus mode! Supports Mouse AND Lightgun play!
Age of Advent,"Welcome to the Age of Advent! Play four minigames based on the members of hololive -Advent-! Save the Moai with Bijou, make a soup with Nerissa, try not to crash with FUWAMOCO, and avoid the gaze of Shiori!"
Nyctophilia,Nyctophilia is 2D psychological thriller about bad things in your head.
Octarina,"Use the sticky abilities of an octopus to jump, climb and cause mayhem in the sushi factory. Discover your way to regain freedom!"
Epic Arena,Epic Arena is a free-to-play turn-based strategy game. Pick one of three completely different teams and outwit your opponent in epic back-and-forth matches. Flex your tactical muscles in time-limited Blitz mode matches or take your time in turn-by-turn duels.
Light of Alariya,"Light of Alariya is an open-world, third-person, exploration puzzle game in which you traverse ancient alien temples and ruins to restore the power of the stars and awaken your sleeping civilization."
Princess Maker 3: Fairy Tales Come True,"Princess Maker 3: Fairy Tales Come True to Steam on end of June 2017. This new release contains the original concept and feel to its series, but also had been upgraded to be compatible on Window 7 and above OS, and optimized to fit 16:9 aspect ratio. In addition to system upgrade, the game utilizes the Steam achievement system."
Metal Assault,"Metal Assault is a free to play action packed 2D side scroller with rough 'em up, shoot 'em up fun! Grab some friends, grab a weapon and get in the thick of battle with defense specialist Carl, sharpshooter Marie, the brute force of Burton and tactical expert Ai!"
You Must be 18 or Older to Enter,"It's the 1990s. You’re alone at home, and you heard about the 'adult' internet at school. You Must be 18 or Older to Enter blurs several genres together to create an anxious horror experience, one that hits a little too close. How deep will you dive before your parents come home? Do you even like this stuff?"
The Purge Dilemma,Do you have the intuition and cunning to successfully save yourself from the purges of a paranoid dictator? Prove your loyalty to the Tyrant in this social deduction game designed for 5-10 players.
Imperia Online,"Imperia Online brings you into a world, which exists in the times before the age of gunpowder. It is the world of the sharp blade, long bow and war horse. Experience the vast amount of gameplay mechanics and compete with thousands of players in a totally realistic medieval strategic simulation!"
IdleTale,"IdleTale is an incremental clicker RPG game. Kill enemies to gain Gold, use it to produce even more Gold while you're not playing and complete quests, explore dungeons, collect loot to gear up and improve your character with all the Talent trees and the further Ascension Upgrades!"
HEAT REBORN,"HEAT REBORN is a free massively multiplayer online first-person shooter. Completely re-created the original HEAT PROJECT with modern game engine. Brings you the improvement of graphics, game balance, and even with numbers of new game mode for you!"
FULFILLMENT,"Exciting Adventure About the Joys of Working at an Amazin' Fulfillment Center! Short, social commentary game that is 100% free, no micro-transactions."
Car Manufacture: Prologue,"Build a car factory in the beginning of XX century. Discover new cars and technologies. Manage employees. Make tons of money and stay on top. Car Manufacture: Prologue, being a shortened version of the full game, is a great way to try this automotive tycoon game."
High School Simulator,Please enjoy high school life in Japan.[How to game]Operate with XBOX Controller or KeyboardkeyboardA : Left MoveD : Right MoveW: Front MoveS : Back MoveF: JumpG: Grab human / Pick up itemR: Crouch / AttackT: Action ButtonQ : DashE : VisionMouse L Click + Mouse Move: Camera MoveXbox Controller A: JumpB: Grab human / Pick up itemX: Crouch...
Alchemia Story,"Create the character you really want, and explore the alchemy world with the help of 'YOME'!"
Helium Rain,Trade your wares and eliminate the competition in a cutthroat world. Buy new ships and stations to mine and haul resources. Explore the vast emptiness of space.
Heroes Of The Dark,"Battle Vampires, Werewolves and Humans in a dark Imperial Age strategy game! Collect and upgrade Heroes for 5v5 action, forge alliances, and restore world order."
Unroaded,Unroaded is a short free visual novel about the living dead man who instead of inaction has chosen the road.
Warmonger,Warmonger is a Free-to-Play PVP MMO with MOBA-style combat in a persistent world. Choose between different factions and many distinct characters with tons of different weapon setups. It's not just a match: It’s WAR!
Horse Farm,"Create the ranch of your dreams, with cute horses, diverse buildings, amazing features and captivating quests. Download Horse Farm now and take care of your horses!"
Sands,"'The sands have no pity.' The inhabitants of Zetta-115 often say that. The same they instill in their children from an early age. And this is what they whisper about, sitting in their dilapidated shacks, waiting for the impending storm..."
RONIN: Two Souls CHAPTER 1,"Create your own adventure with Kenji who wants to be a samurai and is trained for it. But beware, you might go out on your own way in this path, it is entirely up to your choices. Can someone else’s desire of revenge lead your purpose and choices? Or, does he decide that?"
Infinite Air with Mark McMorris,"Join pro snowboarder Mark McMorris and an elite crew of riders in a vast, open-world snowboarding experience. Compete in authentic events, drop in on any mountain peak by helicopter, and design your own snow parks to shred with the World Editor."
Peasant Royale,Meet the first standalone medieval battle royale game! Take part in battles with up to 50 players using a wide variety of weapons and other items.
Galaxy in Turmoil,"Galaxy in Turmoil's conceptual Early Access game is a FREE multiplayer combined-arms game set in a brand-new universe, created by a team of volunteers. It’s all about endless arms races, corporate espionage, and, most of all, blasting up on the enemy faction and taking their stuff."
ENSCROLL,"Fresh out of Magic Academy with a hefty student loan, you must craft and sell magic scrolls to pay off your debt. Create spells for demanding customers and manage your growing loan payments. Will your magical skills be enough to free you from student debt?"
Call of Duty: Black Ops - Mac Edition,Call of Duty®: Black Ops Mac Edition will take you behind enemy lines as a member of an elite special forces unit engaging in covert warfare.
Scratches - Director's Cut,"Dark Legends surround the old abandoned Blackwood house, secluded far away in the northern wastelands. For writer Michael Arthate, this cold, solitary atmosphere is fodder for his restless imagination. But Michael soon becomes distracted by the mysteries offered up, as he follows a trail exploring and delving into the secrets of the past."
忍者村大战2,"Original weather systems, seven kinds of different weather conditions will get different bonuses and bonus. Test your strain capacity and operational strategy. Professional production team, studying endure operation characteristics of the characters, special seal system, the ninja can seal a hero for the cultivation of personality."
Detective Butler: Maiden Voyage Murder,Follow Detective Butler and his sidekick Gilligan as they solve a locked-room murder during a haunted cruise ship's maiden voyage. Can you solve the mystery before Detective Butler reveals the answer?
FatalZone: Outbreak,"Outbreak is the demo version of FatalZone, a bullet heaven zombie apocalypse shooter where you'll have to upgrade your base, hone your mercs' skills, and put them to the test to survive."
Eisenhorn: XENOS,"‘Eisenhorn: XENOS' is an immersive, fully 3D adventure game, adapted from ‘Xenos', the first book in Games Workshop's best-selling ‘Eisenhorn' trilogy, written by award winning author Dan Abnett. Set in the grim, dark future of Warhammer 40,000 ‘Eisenhorn: XENOS' lets you experience firsthand the story of Gregor Eisenhorn, an Inquisitor..."
Remove: 범죄는 흔적을 남긴다,Let’s recall the memory before the accident and erase the traces of your crime.
Heart Fragment,Can you collect all the fragments to reach your happy ending? Or will your attempts only end in tragedy? Find out in this psychological otome game as you sort your way through the secrets &amp; lies.
MetaBall - Multiplayer Basketball,"Experience the thrill of Hoverboard Basketball! Team up or challenge players around the world in fast-paced PvP matches. Master the ball, pull off tricks, and outwit your opponents to score impressive goals— with no aim assist. Only skill and creativity matter. Grab your hoverboard and dominate now!"
Axilon: Legend of Artifacts - Prologue,Axilon: Legend of Artifacts - Prologue is a short linear corridor first-person fantasy action RPG game. Awaken your true power and resist the forces of evil that are trying to destroy your world.
Hamster Combat,"Hamster Clicker is a clicker game about collecting hamsters! Every 3 and 18 hours, you get dropped a chest with hamsters!"
MannaRites,"Fantasy beat'em'up with a bit of RPG flavor and couch co-op. Explore open map, fight brutal enemies, find and equip weapons, armor and artifacts, make your hero stronger by gaining experience and learning unique perks and combat moves!"
The Huntsman: Winter's Curse,"The Huntsman: Winter’s Curse is a narrative-driven, interactive fantasy fiction game with a card based combat system set in the universe of Snow White and the Huntsman."
Dirge,"Band together with up to 4 friends to confront paranormal monsters. One player can take on the monster role to hunt the investigators. To win the game, you must survive long enough to accomplish all of the tasks to defeat the monsters. Step out of the shadows, no more running &amp; hiding. Fight back!"
BROK the InvestiGator - Prologue,"The very first PUNCH &amp; CLICK! Brok is an innovative adventure mixed with beat 'em up and RPG elements. In a grim world where animals have replaced mankind, what kind of detective will you be?"
Tatari: The Arrival,Take the role of a detective from Tokyo who tries to solve the mysterious case of the disappearance of a young camper. You will try to follow the trail of evidence to guide you through an enigmatic and paranormal case connected with a Japanese urban legend. Can you help until the end?
Margo,Margo just woke up from a nap! Will you help her get back on track?
Juniper's Knot,"Juniper's Knot is a short (~30 mins) kinetic novel about the meeting of a demon and a boy. A kinetic novel is a game that uses text, sound, and illustrations to tell a story."
The RPG Engine,"Host immersive tabletop campaigns in a world imagined entirely by you! Build from the ground up with The RPG Engine, an intuitive virtual tabletop that lets you create unparalleled roleplaying environments for your party to get lost in."
Banana Drama,Banana Drama is a free and independent RTS game. It offers a singleplayer and online multiplayer experience. Your monkey king is held captive by evil dinos - he needs help! Get free early access and be part of the banana crew. Please consider giving feedback on Discord!
Hex Commander: Fantasy Heroes,"Build an army and lead your heroes into battle in an epic fantasy strategy game. Hex Commander: Fantasy Heroes is a turn-based strategy game that will put you right in the middle of war between Humans, Orcs, Goblins, Elves, Dwarves and the undead."
Snood,"Forget Life, Play SNOOD!"
Soccer Kids Alpha,"A game about soccer, made by people who suck at playing soccer. Guide your team of nerds to victory in this tight, tactical soccer game!"
Looking For Cats In a Badly Drawn Forest,"Look around the house, mountain peaks and forest to find 300 cats hidden in the most unexpected places!"
LISA: The First,A memory of madness.
The Political Machine,"Do you have what it takes to be president?Play as more than 20 candidates including Barack Obama, Mitt Romney, Rick Santorum, Ron Paul, Newt Gingrich or create your own candidate from scratch.Players take to the campaign trail against a computer controlled opponent or a human challenger over the Internet."
Dr. Frank's Build a Boyfriend,Dr. Frank's Build-A-Boyfriend is a comedy BL visual-novel mixed with point-and-click adventure elements.
Farming Fever - Pizza and Burger Cooking game,"Farming Fever is an engaging time management game where you can become both a farmer and a chef at the same time. You'll have to manage your farm, harvest crops, cook, and complete customers' orders."
Escape,"Escape is a simple 2D game with 35 levels already unlocked (for the sake of gaming of course). Require jumping skills, a brain and patience. Enjoy :)"
Life Tastes Like Cardboard,A game about boredom and self-pity. It's about myself mostly. You walk around and press the 'interact' button. Sorry for making this.
Green Reaper,"Play as Rubin, a rose ensorcelled by the goddess Antheia and entrusted with her sacred scythe. Mushroom marauders have invaded the greenhouse, targeting the garden goddess and choking the life out of her children. It is your duty to traverse the expanse of the greenhouse and slay these invaders."
Sect-Machina,"Sect-Machina is a fluid, atmospheric bug-themed metroidvania rendered in a vibrant 2D pixelated style, crafted with meticulous attention to detail in its combat, characters, environments, sound, and story."
The Lancaster Leak - Crisis At Call Center,"YOU CONTROL THE FOUND FOOTAGE. Another tape has been leaked, this time a cover-up of a tragic mass casualty event."
Lycanthorn II - Rain of Beasts,"Lycanthorn II is 3D homage to games of old. You play as Rain, a Vampire Hunter, on her quest to slay Nosferatu."
Union of Gnomes: Prologue,"The Prologue of the Union of Gnomes awaits your daring and brave gaze. Twisted and broken, it stands — a reflection of what was never meant to be. The threads of destiny fray, and reality splinters like a shattered mirror."
Tribe XR | DJ Academy,Become a DJ: Learn to DJ on Pioneer DJ equipment. Join daily workshops. Connect with community. Level up your skills. Perform to the world. Start your FREE 7 DAY TRIAL today. Access all the premium content.
CasinoRPG,"Play the tables or own the strip in this Vegas-themed MMORPG that merges role-playing, tycoon, city-building and casino games. Use your winnings in multiplayer casino games like slots, poker, blackjack and roulette as you rise from janitor to casino mogul."
Hidden Capybaras with Orange and Pumpkins: Spooky Halloween Edition,Celebrate Halloween night with cute capybaras with orange! Find all the hidden capybaras in their Halloween costumes and light up the town on this magical night. A fun-filled adventure awaits you!
Echocalypse: The Scarlet Covenant,"Kemono Girl RPG has topped the free download list on App Store and Google Play in multiple countries or regions! Embark on a journey with 10 million players worldwide in a post-apocalyptic exploration, and stand alongside charming Kemono girls! Enjoy a time-saving and relaxing card battle!"
炎黄战纪之三国烽烟,《炎黄战纪》是一款开放式的水墨历史风集换式卡牌游戏。 我们设计这款游戏的初衷对华夏五千年来那一个个青史留痕的人物的向往和致敬，希望能记录和纪念这些炎黄之魂以及他们的故事，同时也希望能提供一个平台将同好者们聚在一起来共同开发和完善这个游戏，青梅煮酒，共论天下英雄，评说功过是非。
Meow Express,"You are a cat on a robot vacuum cleaner. Which means you are bus driver in the cat world! Dodge obstacles, pop innocent kids' baloons, dash through buildings to collect your fellow cat pussengers. Meow Express is a cute, fun and annoying casual arcade game, just like our furry friends."
InCell VR,InCell is an action/racing VR game with a bit of strategy and science thrown into the mix. You'll take an exciting journey inside the highly unusual micro world of human cell and stop the virus advance. The game is focused on VR but you can play just fine without a set.
アリスのハニハニクラッシュ！,"Entries for the Champion of Hanny Crushing are now OPEN![Alice's Hanny Hanny Crush!] is a casual Hack &amp; Slash game featuring satisfying Hanny crushing!Please show no sympathy. Afterall, they are just ceramics. Share your results on social media to show off your Hanny crushing skills!"
BattleCON: Online,"In this deeply strategic, full-information battle card game, choose your fighter from a diverse roster of spell-slinging duelists, tag-teaming werewolves, time-traveling boxers, dimensional knights, and more!"
Night Reverie: Prologue,Night Reverie: Prologue is the first act of a Puzzle/Adventure game in which a child must solve the mystery behind the distortion of his house. Explore puzzle-filled environments and discover strange creatures as you reach the truth behind of what looks like a bizarre nightmare.
Mojo XXX,Mojo XXX is a new game in the Mojo series. Updated game mechanics will enable you to look at the magical merge of numbers from a different perspective. Two beautiful girls are ready to keep you company.
"""LIFE"" not found;","This small Narrative Point &amp; Click (Puzzle) game is about the mental health struggles of a adolescent high school dropout who's lost at life. Find out what they're struggling with, you might even recognize some things from your own life."
Dinogen Online,"Action-packed 2D multiplayer top-down shooter. Play as a human or dinosaur with hundreds of weapons, game modes, and maps!"
Cloney,"Cloney is a dragon looking for coins, all you need to do is tap your way through this endless runner collecting as many coins as you can without flying into anything. Sounds easy enough?"
Plan A,"Carefully plan your team's tactics in close quarters battles. Use the timeline to synchronize each door breach, grenade throw and room entry with precision. Watch your team execute your plan autonomously in epic cinematic replays. Take on challenging roguelike campaigns or standalone missions."
Sprite Fantasia,"Lively and funny, warm and healing, the most hilarious and tearful MMORPG!'Master~ I need you!' A hilarious MMORPG that doesn't ask you to save the world.[Download now] to get rare sprite cards!'"
Legends of Callasia,"Choose your faction. Choose your heroes. Choose your troops. Conquer lands, create kingdoms, and destroy your enemies. All the lands of Callasia are yours to dominate in this original strategy game."
Skala,Skala is a puzzle game about changing the scale of the world.
Farlanders: Prologue,"Prepare for your journey to Mars by building and managing a colony within the safety of Earth’s atmosphere. Hone your abilities to create a thriving community, terraform the land to suit your needs, and prove your capability for a larger mission. Get ready to launch in this prologue to Farlanders."
Deadly Hunter VR,Deadly Hunter is an immersive first-person defense game designed exclusively for VR. You play as a renowned Orc hunter whose goal is to learn the enemy’s weaknesses and use the best-suited traps to blow their heads off!
King of the Couch: Zoovival,"Real-time natural selection! Who will survive, a bear with a cheese or a shark with a shotgun? King of the Couch: Zoovival is the latest evolution of the platform battle arena game genre! Fight as an animal, with a wide assortment of weapons, on multiple unique battle arenas in King of the Couch: Zoovival."
Green Elephant 2D,-This game is based on russian movie 'Green elephant' or 'Zeleniy slonik'. This is a platformer/shooter game with quest elements and a lot of humor and fun moments. -The goal of the game is to find a key on diffent levels and run away from dangerous enemies and defeat powerfull bosses at the end of each level!
Welcome to Light Fields,"Welcome to Light Fields. Experience real-world reflections, depth, and translucence like never before in VR. Explore the Gamble House, Mosaic Tile House, and the Space Shuttle Discovery. These navigable stills showcase the emerging technology Google is using to power its next generation of VR content."
Dynopunk: Welcome to Synth-City,"An ironic adventure with cyberpunk aesthetics set in a world where humans have been replaced by dinosaurs. Become a top-notch repair shop mechanic: fix gadgets, have heart-to-heart talks, and offer drinks to your customers — everything to fulfill your ultimate dream."
Lost Islands,"Lost Islands is a Cold Weapon PvPvE online multiplayer action game. You will play an adventurer to an unknown island, killing and co-operating with monsters and other adventurers on the island, embarking on an exciting adventure and eventually escaping with the treasure."
The Abbey of Crime Extensum,"A free game inspired by Umberto Eco's novel and Jean-Jaques Annaud's film 'The Name of the Rose', and based on the game 'La abadía del crimen' by Paco Menéndez and Juan Delcán."
Swarm,The Network has been infested. Face a giant creature ruled by music to cleanse it. Fight while switching between 2 complementary Game Modes!
VR Benchmark Kanojo,[VR Benchmark from VRKanojo]It is a benchmark for VR. Let's measure the performance of your PC!It has a function that can become a fan in extra mode.
SUPER DRINK BROS.,Juice cans hit each other! ?? A powerful and high-speed 3D action game that decides the best drink in the world!
Isles of Limbo,"Arena-based hack-and-slash combat Fight off waves of enemies with the weight of your hammer and the grace of your sword. Spellbinding Visuals A hybrid of 3D and hand-painted art styles, animated to create a breathing, if not quite living, world between worlds."
Kidz,"Kidz is 2D Side Scrolling style, featuring different mechanic each episode, including Action Horror, Point &amp; Click, and Parkour! 3 kids from the different universe face the same issue. Let's explore their story!"
Command & Conquer™ and The Covert Operations™,The legendary RTS game which started it all. Will you side with the humanistic GDI or bring the world to its knees with Kane and the Brotherhood of Nod. Your adversaries are without mercy. And so are you.
Operation Airsoft Beta,"Operation Airsoft is an online first-person shooter based on the popular sport of airsoft. Choose from a library of real-life field layouts, including SpeedQB, Speedsoft, and Milsim game styles. (Currently Outdated)"
Gran Saga,"Gran Saga is a highly immersive anime-style MMORPG, brought to life by a cast of world-renowned Japanese voice actors and ultra-high quality game graphics. Join Las and his comrades as they embark on a journey that will set a brand new legend in motion."
NS2: Combat,NS2: Combat is a powerful twitch-shooter where space marines battle aliens through a competitive mixture of MOBA &amp; FPS playstyles. Are you ready?
Psycho地雷InLove : 싸이코지라이 인 러브,A simulation of an outcast romance!
Adventure in My Head,"One guy really liked to fantasize and come up with different unusual adventures in his head. His girlfriend Masha noticed this and suggested taking a walk, since the main character only did what he sat at home and dreamed of different worlds."
Dear Devere,"A romance/mystery visual novel set in 1930s Scotland, told through a letter correspondence."
Nut City Blues,"A comedy-mystery visual novel about Captain Fox, Detective Raccoon and the danger of pineapple pizza."
Holy Shit,Click to the Shit and collected many Points.
non-binary,'non-binary' is a video game that mixes text choices and bullet hell to tell the story of two non-binary people's journey of self-discovery. Make your choices. Dodge words. Go through things that hurt without breaking down. If you can.
9Dragons : Kung Fu Arena,"“Nine Dragons : Kung Fu Arena” is a Martial-Art battle royal project based on the history of “Nine Dragons Online”, loved by 7 million users globally. Through the bloody battleground in Gado island, defeat all other mercenaries and find “The Dragon’s Jade” to reveal the legend of Nine Dragon’s Legacy."
Loria,"Loria is a homage to classics from golden era of strategy games, with modern spin on controls and user experience."
Engine Evolution 2020,"Engine Evolution is a multiplayer racing game that uses similar principles as World of Tanks. With each PvP race against 11 other players, you gain experience and credits, for which you can buy various upgrades for your bike or unlock the next bike."
Medieval Shopkeeper Simulator,"Keep your stores afloat against unique threats like royal laws, wars and crazy fantasy events. Discover new items, craft, sell them, and create your Merchant Empire in the kingdom! - All in a hybrid 2D-3D style."
Labyrinth,"UPDATED! Embark on a new adventure: Assemble powerful decks of Heroes to invade rival dungeons and engage in epic PvP 3D battles--then, use the loot from your conquests to customize your own dungeon and put together a powerful deck of bosses and minions to defend your riches at all costs."
The Alchemist's House,An invitation from a stranger... There's something evil in this house... Will you survive?
Conquistadorio: Prologue,"The conquistador, who has faced many trials in his life, decided to retire and become a hermit. Just lying in his solitary cave away from people. But it seems that fate itself throws new challenges at you even in such a simple matter."
Shooting Hurts,"A brand new AI, a weapon that turns its health into projectiles, and a gauntlet of tests designed to test their limits. How will you make every shot count when shooting hurts?"
World of Tennis: Roaring ’20s,"World of Tennis: Roaring ’20s is a realistic tennis game featuring global multiplayer and tactical gameplay across a variety of incredible, life-like locations – all set in the roaring ’20s!"
Wyrmsun,"Wyrmsun is a real-time strategy game which features elements of mythology, history and fiction."
Iso Racer,"Iso Racer is a top-down multiplayer racing game focusing on realistic driving physics combined with drifting. It contains a variety of tracks, cars and the ability to personalize vehicles. It's a great experience for casual and hardcore racing fans."
Stern Pinball Arcade,"Real pinball machines created by the world's most experienced producer of arcade-quality pinball machines can now be played on your PC. Over 10 tables including modern classics like Star Trek™, and Mustang™ are available as DLC with two FREE tables to play every month!"
Star Sonata 2,"Star Sonata 2 is a space sandbox MMO that combines elements of action, RPG, and empire creation into a truly unique MMO. Explore the sandbox style universe, build persistent bases, construct trade ships, and even fight your way to the top and claim the Emperor’s Throne!"
Melon,Click the melon! Check out discord for more info and news.
Drugs and Crime Idle,"Behind every great fortune, lies a great crime! Sell drugs, attack with your gang, gamble your CrimeCoins away and hope, that you get that rare item, finally. Free-to-play. Offline Progression. No Microtransactions except 2 optional DLCs."
Ninja Hanrei,Ninja Hanrei is a 2D run and gun Platformer game inspired on Ancient Japan but with Super Powers.
The Night Cafe: A VR Tribute to Vincent Van Gogh,The Night Cafe is an environment that allows you to explore the world of Vincent van Gogh first hand. Take a moment to enjoy his iconic sunflowers in 3 dimensions or walk around the chair he painted in his bedroom to see it from another angle. Step into the vivid colors straight from his palette.
RENNSPORT,"RENNSPORT is the future of racing simulation, competition, and digital car culture. Live the thrill of driving high-performance race cars on laser-scanned circuits from around the world and breathtaking roads imagined by the community."
Armored of Doom,"'Armor of Doom' is a TPS game with 'tank vehicle' + 'MOBA' gameplay. You will use famous active and retired tanks to compete on the battlefield. The game combines the strategic depth of traditional tank battles with the excitement of MOBA games, bringing an unprecedented gaming experience."
DayZ Tools,A complete tools suite for the game engine powering DayZ.
TO4: Tactical Operations,Tactical Operations is a round based fast-action first-person shooter with classic controls. Built using the Unreal Engine 4 – Welcome to TO4!
b 2,"b 2: online-only multiplayer --- an alien place --- you are the bee: fly where you want, play as you like"
The Body VR: Journey Inside a Cell,The Body VR: Journey Inside a Cell is an educational virtual reality experience that takes the user inside the human body.
Bash the Teacher! - Classroom Clicker,It's time to show the teacher who is the real boss of the classroom in this hilarious idle-clicker game! Click away to blast the teacher with your chosen weapon - watch as the teacher’s frustration grows and discover their funny reactions!
Low Oxygen,"Explore an abandoned facility on the planet you've crashlanded, solving puzzles with strange plants along the way."
The Slimeking's Tower,"The Slimeking's Tower is an action/roguelike game where you have to explore a procedural generated tower, collect over 300 different items and slay over 100 different enemies in five different gamemodes to retrieve your people's moustaches back from the Slimeking."
H.I.A: Horror Investigation Agency,"H.I.A: Horror Investigation Agency is a fun multiplayer horror game in which you and co-players have to investigate exciting horror cases. Among finding victims and evidence of the horror event that has taken place, you will be faced with jumpscares and scary monsters along your investigation."
Captain Starshot,Fight fierce hostile alien space ships to neutralize their defenses before you board their ships and battle intense on-foot encounters. Eliminate their forces and steal their technology to upgrade your squad with different abilities and save the galaxy!
Tomb Rumble,"Tomb Rumble is a pixel art MMO platformer, where adventurers compete to retreive ancient treasures in lost temples, cursed ruins and more. Push other players into deadly traps to be the first to escape !... or be the one to fall in a lava pit."
Project Crypt,Project Crypt: The horror adventure about escaping a city overrun by monsters.
Jidousha Shakai,Jidousha Shakai is an open world racing game with unrivaled customization to spark the new coming of open world racers. Control every inch of your cars appearance to give it your unique touch. If you'd like to experience Jidousha Shakai in it's fullest form we need your help today!
SAVE Teaser: Before the Dawn,"Experience the desperate escape in a Hyper-Realistic 6,000-Ton ship 'SENARA,' and immerse yourself in a hauntingly realistic atmosphere of mystery and horror."
Fragsurf,"Fragsurf is a dynamic blend of multiplayer first-person shooter PvP, strafing, surfing, and bunnyhop, allowing players to engage in high-speed maneuvers and combat."
Winter Voices,"A unique adventure, a stunning scenario to discover in one season!"
Fantastic Haven: Prologue,"Save fantasy creatures and protect them until releasing them into their natural habitat. Build your shelter, explore the neighboring region, and encounter a series of events."
Ruka,"Ruka is a cartoon puzzle game where you play as a clumsy girl who is quite oblivious to the outside world. Maneuver through your Grandfather's manor and survive the mysteries there and find him. But be warned, not everything is as it seems!"
Surge,Surge is a short VR music video made by Arjan van Meerten and produced at House of Secrets.
Moon Runner,You are tasked with urgent maintenance on a small moon. Find the monoliths and manage your survival to complete your mysterious assignment.
Dark Eden,"‘Dark Eden’, the real R.P.G game, will provide you a new experience you did not have from the other games before. Welcome to the world of ‘Dark Eden’ themed in Vampire which isdifferentiated from the typical fantasy world."
仙侠世界2,《仙侠世界2》是以次世代引擎开发的正统仙侠类题材MMORPG，捏脸、副本、攻城等玩法一应俱全。游戏开放全场景自由飞行，所有野外和城市场景均可飞行。凭借高清的引擎表现，实现了全方位“飞行赏景”。游戏主要玩法依托于家族展开，玩家可自行建立家族参与争霸，也可与伙伴一起体验小团队战斗的乐趣。
Coloring Game 5,Coloring Game 5 - coloring by numbers. Is a bright representative of anti-stress games.
White Mourning: Museum In Pale,"White Mourning: Museum In Pale is a fan game of Disco Elysium, based on White Mourning (the DE fanart book). You can wander around as a pixel RPG character. Meet with familiar people, review your familiar past, and collect all kinds of artwork."
Kingshunt,"Kingshunt is a third person tactical arena brawler set in a dark fantasy world. Form a team of five, choose your hero and take the fight to the enemy in this competitive online multiplayer game. Summon powerful minions and towers to combat the enemy team."
Zamboni Simulator 2019,"Zamboni Simulator 2019 is a game about existential nihilism, depression, family, love, and ice resurfacing. It is an almost all original game including original art and music, but with recycled junk philosophy."
Miners Settlement,"Explore enchanting landscapes with unique pixel art graphics. Join a guild for thrilling adventures and epic battles. Cooperate to conquer dungeons and dragons. Trade in the Open Market, master professions, and create your build. Forge friendships and shape your destiny in our immersive RPG world!"
